lat,lon,depth,chlor,temp,-50,-100,-150,-200,-250,-300,-350,-400,-450,-500
80.5,89.5,-188.98,0.2614,-0.4,0.31368,0.47052000000000005,0.23526000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.5,90.5,-94.49,0.2707,-0.25,0.32483999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.5,91.5,-94.49,0.1544,-0.11,0.18528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,-9.5,-188.98,0.2272,0.91,0.27264,0.40896000000000005,0.20448000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,-8.5,-188.98,0.3342,0.91,0.40104,0.60156,0.30078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,-7.5,-251.97,0.2804,1.2,0.33647999999999995,0.50472,0.25236,0.05608,0.02804,0.0,0.0,0.0,0.0,0.0
79.5,-6.5,-346.46,0.3713,1.35,0.44556,0.66834,0.33417,0.07426,0.03713,0.018565,0.0,0.0,0.0,0.0
79.5,-5.5,-661.42,0.2193,1.06,0.26316,0.39474,0.19737,0.04386,0.02193,0.010965,0.008772,0.006579,0.004386,0.002193
79.5,3.5,-2866.14,0.1974,0.77,0.23687999999999998,0.35531999999999997,0.17765999999999998,0.03948,0.01974,0.00987,0.007896,0.005921999999999999,0.003948,0.001974
79.5,4.5,-2834.65,0.8927,1.35,1.07124,1.6068600000000002,0.8034300000000001,0.17854000000000003,0.08927000000000002,0.04463500000000001,0.035708000000000004,0.026781,0.017854000000000002,0.008927000000000001
79.5,5.5,-2393.7,0.9576,1.93,1.14912,1.72368,0.86184,0.19152000000000002,0.09576000000000001,0.047880000000000006,0.038304,0.028728,0.019152,0.009576
79.5,6.5,-1385.83,0.8927,2.95,1.07124,1.6068600000000002,0.8034300000000001,0.17854000000000003,0.08927000000000002,0.04463500000000001,0.035708000000000004,0.026781,0.017854000000000002,0.008927000000000001
79.5,7.5,-850.39,0.4583,3.68,0.54996,0.82494,0.41247,0.09166,0.04583,0.022915,0.018332,0.013748999999999999,0.009166,0.004583
79.5,8.5,-283.46,0.3846,3.68,0.46152,0.69228,0.34614,0.07692,0.03846,0.0,0.0,0.0,0.0,0.0
79.5,9.5,-125.98,0.9576,2.37,1.14912,1.72368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,10.5,-31.5,0.3461,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,15.5,0.0,0.9246,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,26.5,-94.49,0.2614,1.2,0.31368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,31.5,-251.97,0.2614,1.35,0.31368,0.47052000000000005,0.23526000000000002,0.05228000000000001,0.026140000000000004,0.0,0.0,0.0,0.0,0.0
79.5,32.5,-283.46,0.139,0.91,0.1668,0.25020000000000003,0.12510000000000002,0.027800000000000005,0.013900000000000003,0.0,0.0,0.0,0.0,0.0
79.5,33.5,-283.46,0.184,0.19,0.2208,0.3312,0.1656,0.0368,0.0184,0.0,0.0,0.0,0.0,0.0
79.5,37.5,-283.46,0.184,0.19,0.2208,0.3312,0.1656,0.0368,0.0184,0.0,0.0,0.0,0.0,0.0
79.5,39.5,-283.46,0.5274,0.04,0.63288,0.9493199999999999,0.47465999999999997,0.10548,0.05274,0.0,0.0,0.0,0.0,0.0
79.5,40.5,-283.46,0.3713,0.33,0.44556,0.66834,0.33417,0.07426,0.03713,0.0,0.0,0.0,0.0,0.0
79.5,41.5,-283.46,0.4425,-0.11,0.531,0.7965,0.39825,0.08850000000000001,0.044250000000000005,0.0,0.0,0.0,0.0,0.0
79.5,42.5,-314.96,0.8322,0.48,0.99864,1.4979600000000002,0.7489800000000001,0.16644000000000003,0.08322000000000002,0.04161000000000001,0.0,0.0,0.0,0.0
79.5,43.5,-283.46,0.651,1.2,0.7812,1.1718000000000002,0.5859000000000001,0.1302,0.0651,0.0,0.0,0.0,0.0,0.0
79.5,44.5,-125.98,0.6742,1.06,0.80904,1.21356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,45.5,-125.98,0.3846,0.91,0.46152,0.69228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,46.5,-251.97,0.3008,0.77,0.36096,0.54144,0.27072,0.060160000000000005,0.030080000000000003,0.0,0.0,0.0,0.0,0.0
79.5,47.5,-251.97,0.3983,0.62,0.47795999999999994,0.71694,0.35847,0.07966000000000001,0.039830000000000004,0.0,0.0,0.0,0.0,0.0
79.5,48.5,-283.46,0.7232,0.48,0.86784,1.30176,0.65088,0.14464,0.07232,0.0,0.0,0.0,0.0,0.0
79.5,49.5,-251.97,1.4088,0.62,1.69056,2.5358400000000003,1.2679200000000002,0.28176,0.14088,0.0,0.0,0.0,0.0,0.0
79.5,50.5,-377.95,2.1464,0.33,2.5756799999999997,3.86352,1.93176,0.42928,0.21464,0.10732,0.085856,0.0,0.0,0.0
79.5,51.5,-377.95,0.9576,0.33,1.14912,1.72368,0.86184,0.19152000000000002,0.09576000000000001,0.047880000000000006,0.038304,0.0,0.0,0.0
79.5,52.5,-251.97,0.9918,-0.11,1.1901599999999999,1.7852400000000002,0.8926200000000001,0.19836,0.09918,0.0,0.0,0.0,0.0,0.0
79.5,53.5,-251.97,0.3585,-0.11,0.43019999999999997,0.6453,0.32265,0.0717,0.03585,0.0,0.0,0.0,0.0,0.0
79.5,54.5,-188.98,0.2904,-0.4,0.34847999999999996,0.52272,0.26136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,56.5,-251.97,0.2804,-0.54,0.33647999999999995,0.50472,0.25236,0.05608,0.02804,0.0,0.0,0.0,0.0,0.0
79.5,57.5,-220.47,0.3227,-0.25,0.38724,0.58086,0.29043,0.06454,0.0,0.0,0.0,0.0,0.0,0.0
79.5,59.5,-283.46,0.2353,-0.11,0.28236,0.42354,0.21177,0.047060000000000005,0.023530000000000002,0.0,0.0,0.0,0.0,0.0
79.5,60.5,-188.98,0.2614,0.04,0.31368,0.47052000000000005,0.23526000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,63.5,-157.48,4.0368,-0.11,4.8441600000000005,7.266240000000001,3.6331200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,75.5,-62.99,0.1974,-0.4,0.23687999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,76.5,0.0,0.184,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,89.5,-125.98,0.2904,-0.25,0.34847999999999996,0.52272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,90.5,-94.49,0.3008,-0.25,0.36096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,100.5,-157.48,0.1126,0.04,0.13512,0.20268000000000003,0.10134000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,101.5,-188.98,0.1544,-0.25,0.18528,0.27792,0.13896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,102.5,-157.48,0.1544,-0.25,0.18528,0.27792,0.13896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,103.5,-188.98,0.1777,-0.25,0.21323999999999999,0.31986,0.15993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,104.5,-94.49,0.2437,0.04,0.29244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,105.5,-188.98,0.3008,-0.11,0.36096,0.54144,0.27072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.5,106.5,-346.46,0.2707,0.19,0.32483999999999996,0.48726,0.24363,0.05414,0.02707,0.013535,0.0,0.0,0.0,0.0
78.5,-74.5,-251.97,0.1208,-0.25,0.14496,0.21744000000000002,0.10872000000000001,0.02416,0.01208,0.0,0.0,0.0,0.0,0.0
78.5,-73.5,-503.94,0.2045,-0.11,0.24539999999999998,0.3681,0.18405,0.0409,0.02045,0.010225,0.00818,0.006134999999999999,0.00409,0.002045
78.5,-12.5,-188.98,0.1208,1.35,0.14496,0.21744000000000002,0.10872000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,0.5,-1574.8,0.651,1.2,0.7812,1.1718000000000002,0.5859000000000001,0.1302,0.0651,0.03255,0.02604,0.01953,0.01302,0.00651
78.5,1.5,-2488.19,1.1413,1.93,1.3695599999999999,2.05434,1.02717,0.22826000000000002,0.11413000000000001,0.057065000000000005,0.045652,0.034239,0.022826,0.011413
78.5,2.5,-2362.2,2.6495,2.37,3.1794000000000002,4.769100000000001,2.3845500000000004,0.5299,0.26495,0.132475,0.10598,0.079485,0.05299,0.026495
78.5,3.5,-2393.7,3.0487,3.1,3.65844,5.487660000000001,2.7438300000000004,0.6097400000000001,0.30487000000000003,0.15243500000000001,0.12194800000000001,0.091461,0.06097400000000001,0.030487000000000004
78.5,4.5,-2330.71,3.1576,3.54,3.7891199999999996,5.68368,2.84184,0.6315200000000001,0.31576000000000004,0.15788000000000002,0.126304,0.09472799999999999,0.063152,0.031576
78.5,5.5,-1795.28,0.7491,3.54,0.8989199999999999,1.34838,0.67419,0.14982,0.07491,0.037455,0.029964,0.022473,0.014982,0.007491
78.5,6.5,-2425.2,0.8619,4.12,1.0342799999999999,1.55142,0.77571,0.17238,0.08619,0.043095,0.034476,0.025856999999999998,0.017238,0.008619
78.5,7.5,-2330.71,1.1821,4.26,1.4185199999999998,2.12778,1.06389,0.23642,0.11821,0.059105,0.047284,0.035462999999999995,0.023642,0.011821
78.5,8.5,-1196.85,1.1019,4.56,1.3222800000000001,1.9834200000000002,0.9917100000000001,0.22038000000000002,0.11019000000000001,0.055095000000000005,0.044076000000000004,0.033057,0.022038000000000002,0.011019000000000001
78.5,9.5,-409.45,1.3602,4.99,1.6322400000000001,2.44836,1.22418,0.27204,0.13602,0.06801,0.054408000000000005,0.040806,0.0,0.0
78.5,10.5,-94.49,0.6742,2.95,0.80904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
